0,1,2,3
Compound,Phase,"Sampling technique
(active sampling)","Flow rate
(L min(cid:1)1)"
"Nine synthetic musks, four
parabens, and one insect repellent",Gaseous,Tenax® TA,0.12
Eight synthetic musks,Gaseous + particulate,PUF + GFF,10
"Two synthetic musks, bisphenol
A",Gaseous + particulate,PUF + QFF,2
Liner and cyclic siloxanes,Gaseous,"Isolute ENV® + SPE
cartridge",1.5
Liner and cyclic siloxanes,Gaseous,"Tenax®
GR/graphitized carbon
black",0.12
Bisphenol A,Gaseous + particulate,PUF + QFF,5
"Parabens, bisphenol A",Gaseous + particulate,"QFF + Amberlite®
XAD-2® resin",<13.3
Benzophenone,Gaseous + particulate,PUF + QFF,5
"Synthetic musks, bisphenol A,
parabens,
triclosan",Gaseous + particulate,"Amberlite® XAD-2®
resin + QMATM ﬁlter",–
Nine synthetic musks,Gaseous,Tenax® TA,100
Liner and cyclic siloxanes,Gaseous + particulate,PUF + QFF,5
Eight synthetic musks,Gaseous,PUF,5
Bisphenol A,Gaseous + particulate,XAD-2 resin + QFF,4
Parabens,Gaseous + particulate,"XAD-2 resin/
PUF + QFF",8–9
Parabens,Gaseous + particulate,"XAD-2 resin/
PUF + QFF",8–9
Cyclic siloxanes,Gaseous,"Isolute ENV® + SPE
cartridge",3–6
Liner and cyclic methyl siloxanes,Gaseous,"Isolute ENV® + SPE
cartridge",0.5
Five synthetic musks,Gaseous,PUF + GFF,–
