0,1,2,3,4,5,6,7,8,9,10,11,12,13
ID,"pH
CaCl2","OM
(g dm(cid:1)3)","P resin
(mg
dm(cid:1)3)","K(
mmolc
dm(cid:1)3)","Ca
(mmolc
dm(cid:1)3)","Mg
(mmolc
dm(cid:1)3)","H+ + Al3+
(mmolc dm(cid:1)3)","Al
(mmolc
dm(cid:1)3)","CTC
(mmolc
dm(cid:1)3)","S(
mmolc
dm(cid:1)3)","V(
%)","(Ca +
Mg)/
K","2(cid:1)
S.SO4
(mg
dm(cid:1)3)"
ST01-0.3m,6,23,5,0.4,45,15,27,–,87,60,69,163,7
ST01-0.6m,5.9,24,43,0.2,35,15,29,–,79,50,63,233,12
ST01-1.4m,6.1,12,3,0.7,47,18,21,–,87,66,76,96,16
ST02-0.3m,4.4,7,0,2.4,6,2,16,8,56,10,19,3,15
ST02-0.6m,4.6,2,0,0.1,7,2,33,10,42,9,21,148,1
ST03-0.3m,5.2,19,3,0.1,11,4,34,2,49,15,31,246,1
ST03-0.6m,5,4,1,0.1,10,3,33,2,46,13,29,213,4
ST04-0.3m,5.5,10,1,1.5,18,6,28,–,54,26,48,16,16
ST04-0.6m,5.6,9,1,1.7,22,7,27,–,57,31,54,17,23
ST05-0.3m,6.1,19,2,0.6,30,10,22,–,62,41,65,67,1
ST05-0.6m,5.7,5,1,0.1,21,8,21,–,50,29,58,210,21
ST06-0.3m,5.6,15,15,0.8,22,9,34,–,66,32,48,41,88
ST06-0.6m,4.3,16,16,1.2,5,1,95,18,102,7,7,5,139
ST07-0.3m,5.4,30,35,1.1,22,7,36,1,66,30,46,25,9
ST07-0.6m,5.8,25,8,1,42,15,25,–,83,58,70,58,8
ST08-0.3m,6,27,63,1.2,60,22,22,–,106,83,79,67,7
ST08-0.6m,6,30,39,1.1,58,19,24,–,102,78,76,68,8
